ID	ouverture	angle	angle	ouverture
515	95.2	63.93326636	51.4	78.46199617
516	95.3	63.99144392	51.5	78.575367
517	95.4	64.06418529	51.6	78.68900781
518	95.5	64.13694822	51.7	78.81921406
519	95.6	64.19517405	51.8	78.93343455
520	95.7	64.26797566	51.9	79.04792611
521	95.8	64.34079869	52	79.17910594
522	95.9	64.39907251	52.1	79.29417948
523	96	64.47193399	52.2	79.40952514
524	96.1	64.53023851	52.3	79.54168241
525	96.2	64.6031383	52.4	79.65761234
526	96.3	64.6760593	52.5	79.77381546
527	96.4	64.73441135	52.6	79.8902921
528	96.5	64.80737043	52.7	80.02374362
529	96.6	64.86575289	52.8	80.14080751
530	96.7	64.9387499	52.9	80.25814597
531	96.8	65.01176793	53	80.37575934
532	96.9	65.07019744	53.1	80.51051167
533	97	65.14325318	53.2	80.62871525
534	97.1	65.2017128	53.3	80.74719477
535	97.2	65.27480609	53.4	80.88293825
536	97.3	65.3332957	53.5	81.0020102
537	97.4	65.40642641	53.6	81.12135912
538	97.5	65.4649459	53.7	81.24098536
539	97.6	65.53811387	53.8	81.36088922
540	97.7	65.59666311	53.9	81.49826258
541	97.8	65.6698682	54	81.61876246
542	97.9	65.72844708	54.1	81.73954099
543	98	65.80168915	54.2	81.86059849
544	98.1	65.86029755	54.3	81.99929193
545	98.2	65.93357645	54.4	82.1209483
546	98.3	65.99221426	54.5	82.24288465
547	98.4	66.06552983	54.6	82.3651013
548	98.5	66.12419693	54.7	82.48759855
549	98.6	66.19754904	54.8	82.62793943
550	98.7	66.2562453	54.9	82.75103906
551	98.8	66.32963381	55	82.87442029
552	98.9	66.38835912	55.1	82.99808343
553	99	66.46178387	55.2	83.1220288
554	99.1	66.52053812	55.3	83.24625671
555	99.2	66.59399896	55.4	83.38857782
556	99.3	66.65278203	55.5	83.5134122
557	99.4	66.71157787	55.6	83.63853009
558	99.5	66.78509059	55.7	83.76393179
559	99.6	66.84391507	55.8	83.88961761
560	99.7	66.91746353	55.9	84.01558785
561	99.8	66.97631655	56	84.1599025
562	99.9	67.03518221	56.1	84.28648324
563	100	67.10878202	56.2	84.41334934
564	100.1	67.16767604	56.3	84.54050112
565	100.2	67.24131124	56.4	84.66793887
566	100.3	67.3002335	56.5	84.79566288
567	100.4	67.35916828	56.6	84.92367346
568	100.5	67.43285431	56.7	85.05197089
569	100.6	67.49181716	56.8	85.19894816
570	100.7	67.55079245	56.9	85.32786128
571	100.8	67.62452902	57	85.45706217
572	100.9	67.68353221	57.1	85.58655113
573	101	67.74254776	57.2	85.71632844
574	101.1	67.81633455	57.3	85.8463944
575	101.2	67.87537784	57.4	85.97674929
576	101.3	67.93443341	57.5	86.1073934
577	101.4	68.00827013	57.6	86.238327
578	101.5	68.06735326	57.7	86.36955038
